"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","id_occurrence_no"
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","AmeriHealth Caritas/AmeriHealth Caritas Northeast","Lehigh/Capital, Northwest, Northeast",343621,837,344458,"Vista","AmeriHealth Caritas/AmeriHealth Caritas Northeast","Independence Health Group",1,"125739","128823",1,0,"Independence Health Group","AmeriHealth Caritas/AmeriHealth Caritas Northeast",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","United Healthcare Community Plan, Inc","Southeast zone, Southwest zone, Lehigh/Capital zone",0,0,0,"United Healthcare","United Healthcare Community Plan, Inc","UnitedHealth Group",1,"118424","123726",1,0,"United Healthcare","United Healthcare Community Plan, Inc",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Aetna Better Health","Southeast zone, Southwest zone, Lehigh/Capital zone, Northwest zone, Northeast zone",0,0,0,"Aetna","Aetna Better Health","CVS Health",1,"62657","107243",1,0,"CVS Health Corporation","Aetna Better Health",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Geisinger Health Plan","Northeast",0,0,0,"Geisinger Health Plan","Geisinger Health Plan","",1,"237399","241781",1,0,"Geisinger Health","Geisinger Health Plan",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Health Partners Plan","Southeast zone",0,0,0,"Health Partners Plan","Health Partners Plan","",1,"284390","291573",1,0,"Health Partners Plans, Inc.","Health Partners Plan",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Keystone First","Southeast",495730,1279,497009,"Vista","Keystone First","Independence Health Group",1,"534812","544395",1,0,"Independence Health Group","Keystone First",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Aetna Better Health","Southeast zone, Southwest zone, Lehigh/Capital zone, Northwest zone, Northeast zone",0,0,0,"Aetna","Aetna Better Health","CVS Health",1,"43907","65165",1,0,"CVS Health Corporation","Aetna Better Health",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Gateway Health","Southwest zone, Lehigh/Capital zone, Northwest zone",312312,849,313161,"Gateway Health","Gateway Health","",1,"181207","185678",1,0,"Gateway Health, LLC.","Gateway Health",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","United Healthcare Community Plan, Inc","Southeast zone, Southwest zone, Lehigh/Capital zone",269704,709,270413,"United Healthcare","United Healthcare Community Plan, Inc","UnitedHealth Group",1,"71577","103722",1,0,"United Healthcare","United Healthcare Community Plan, Inc",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Aetna Better Health","Southeast zone, Southwest zone, Lehigh/Capital zone, Northwest zone, Northeast zone",0,0,0,"Aetna","Aetna Better Health","CVS Health",1,"54997","82076",1,0,"CVS Health Corporation","Aetna Better Health",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","UPMC for You","Southwest zone, Lehigh/Capital zone, Northwest zone",0,0,0,"UPMC Health Plan","UPMC Health Plan","",1,"85021","88427",1,0,"UPMC Health System","UPMC Health Plan",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Aetna Better Health","Southeast zone, Southwest zone, Lehigh/Capital zone, Northwest zone, Northeast zone",0,0,0,"Aetna","Aetna Better Health","CVS Health",1,"16777","24734",1,0,"CVS Health Corporation","Aetna Better Health",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","AmeriHealth Caritas/AmeriHealth Caritas Northeast","Lehigh/Capital, Northwest, Northeast",0,0,0,"Vista","AmeriHealth Caritas/AmeriHealth Caritas Northeast","Independence Health Group",1,"233443","238554",1,0,"Independence Health Group","AmeriHealth Caritas/AmeriHealth Caritas Northeast",1
"Pennsylvania","PA",2021,"","Comprehensive MCO","Physical Health HealthChoices (Comprehensive MCO)","Aetna Better Health","Southeast zone, Southwest zone, Lehigh/Capital zone, Northwest zone, Northeast zone",0,0,0,"Aetna","Aetna Better Health","CVS Health",1,"23838","38710",1,0,"CVS Health Corporation","Aetna Better Health",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Innovage LIFE H-9830","Philadelphia county",62,625,687,"Innovage LIFE H- 9830",NA,NA,0,"786","841",NA,0,"Innovage","Innovage LIFE H- 9830",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","LIFE NWPA H-4999","Erie, Mercer, Crawford, and Warren counties",44,488,532,"LIFE NWPA H- 4999",NA,NA,0,"538","571",NA,0,"LIFE NWPA","LIFE NWPA H- 4999",1
"Pennsylvania","PA",2021,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","VieCare Butler H-3060","Butler county",0,168,168,"VieCare Butler H- 3060",NA,NA,0,"226","235",NA,0,"Lutheran SeniorLife","VieCare",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","VieCare Beaver H- 7660","Beaver and Lawrence counties",22,422,444,"VieCare Beaver H- 7660",NA,NA,0,"542","551",NA,0,"Lutheran SeniorLife","VieCare",1
"Pennsylvania","PA",2021,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","SpiriTrust LIFE H-2537","Franklin, Cumberland, and Perry counties",0,83,83,"SpiriTrust LIFE H- 2537",NA,NA,0,"103","105",NA,0,"SpiriTrust Lutheran","SpiriTrust LIFE H- 2537",1
"Pennsylvania","PA",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","Adult Community Autism Program (Other Prepaid Health Plan (PHP) (limited benefits))","Adult Community Autism Program","Dauphin, Cumberland, Lancaster and Chester counties",91,92,183,"Keystone Autism Services",NA,NA,0,"183","187",NA,0,"Keystone Human Services","Keystone Autism Services",1
"Pennsylvania","PA",2021,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","LIFE St. Mary H-6551","Bucks county",0,243,243,"LIFE St. Mary H- 6551",NA,NA,0,"298","307",NA,0,"Trinity Health","LIFE St. Mary H- 6551",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Washington H-2992","Washington, Fayette, and Greene counties",97,525,622,"Senior LIFE",NA,NA,0,"774","804",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE York H- 0819","York county and Dauphin county",28,265,293,"Senior LIFE",NA,NA,0,"307","319",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Johnstown H-3925","Cambria county and Somerset county (partial)",32,201,233,"Senior LIFE",NA,NA,0,"532","552",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Greensburg H-2937","Westmoreland county",19,213,232,"Senior LIFE",NA,NA,0,"272","276",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Lehigh H- 5978","Lehigh, Berks, and Northampton counties",37,433,470,"Senior LIFE",NA,NA,0,"505","530",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Albright LIFE H-9068","Lancaster, Lebanon, Lycoming, Clinton, Union, and Chester counties",0,174,174,"Albright LIFE H- 9068",NA,NA,0,"249","264",NA,0,"Albright LIFE","Albright LIFE H- 9068",1
"Pennsylvania","PA",2021,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","VieCare Armstrong H- 6118","Armstrong county",0,88,88,"VieCare Armstrong H- 6118",NA,NA,0,"111","115",NA,0,"Lutheran SeniorLife","VieCare",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Mercy LIFE West Philadelphia H-3908","Philadelphia county",34,334,368,"Mercy LIFE West Philadelphia H- 3908",NA,NA,0,"452","477",NA,0,"Trinity Health","Mercy LIFE West Philadelphia H- 3908",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Mercy LIFE H-3919","Philadelphia and Delaware counties",34,783,817,"Mercy LIFE H- 3919",NA,NA,0,"973","1028",NA,0,"Trinity Health","Mercy LIFE H- 3919",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","LIFE Pittsburgh H-3918","Allegheny county",38,499,537,"LIFE Pittsburgh H- 3918",NA,NA,0,"676","702",NA,0,"LIFE Pittsburgh","LIFE Pittsburgh H- 3918",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","LIFE Geisinger H-2064","Luzerne, Lackawanna, Columbia, Montour, Northumberland, and Schuylkill counties",21,329,350,"Geisinger Health Plan",NA,NA,0,"445","471",NA,0,"Geisinger Health","Geisinger Health Plan",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Community LIFE H- 3917","Allegheny, Westmoreland, and Washington counties",44,708,752,"Community LIFE H-3917",NA,NA,0,"869","904",NA,0,"Community LIFE","Community LIFE H-3917",1
"Pennsylvania","PA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PA Living Independent for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Altoona H- 5902","Blair, Cambria, and Indiana counties",52,441,493,"Senior LIFE",NA,NA,0,"264","271",NA,0,"Senior LIFE","Senior LIFE",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Allegheny County HealthChoices","Allegheny county",222739,34525,257264,"Community Care Behavioral Health",NA,NA,0,"283108","285273",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Beaver County HealthChoices","Beaver county",32364,5302,37666,"Beacon Health Options",NA,NA,0,"41865","42104",NA,0,"Beacon","Beacon Health Options",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Blair County HealthChoices","Blair county",29036,4561,33597,"Community Care Behavioral Health",NA,NA,0,"37357","37610",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Berks County HealthChoices","Berks county",95805,11816,107621,"Community Care Behavioral Health",NA,NA,0,"120089","121039",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Bucks County HealthChoices","Bucks county",81587,11277,92864,"Magellan Behavioral Health",NA,NA,0,"103653","104631",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Behavioral Health Services of Somerset and Bedford counties","Bedford and Somerset counties",23454,3985,27439,"Community Care Behavioral Health",NA,NA,0,"30762","31043",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Cambria County HealthChoices","Cambria county",30242,4859,35101,"Magellan Behavioral Health",NA,NA,0,"39727","39999",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Capital Area Behavioral Health Collaborative","Cumberland, Dauphin, Lancaster, Lebanon and Perry counties",237485,28643,266128,"PerformCare",NA,NA,0,"298955","302056",NA,0,"Independence Health Group","PerformCare",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Chester County HealthChoices","Chester county",57167,6489,63656,"Community Care Behavioral Health",NA,NA,0,"71323","71985",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Carbon-Monroe-Pike Joinder Board","Carbon-Monroe-Pike",62915,6709,69624,"Community Care Behavioral Health",NA,NA,0,"79292","79975",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Northwest Behavioral Health Partnership","Crawford, Mercer and Venango counties",53405,9405,62810,"Beacon Health Options",NA,NA,0,"70152","70629",NA,0,"Beacon","Beacon Health Options",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Delaware County HealthChoices","Delaware county",119274,12523,131797,"Magellan Behavioral Health",NA,NA,0,"100676","149919",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Erie County HealthChoices","Erie county",69793,10196,79989,"Community Care Behavioral Health",NA,NA,0,"88708","89222",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Fayette County HealthChoices","Fayette county",36941,6128,43069,"Beacon Health Options",NA,NA,0,"47444","47713",NA,0,"Beacon","Beacon Health Options",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Tuscarora Managed Care Alliance","Franklin and Fulton counties",31044,3677,34721,"PerformCare",NA,NA,0,"39013","39461",NA,0,"Independence Health Group","PerformCare",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Greene County (Commonwealth)","Greene county",8497,1385,9882,"Beacon Health Options",NA,NA,0,"7842","11527",NA,0,"Beacon","Beacon Health Options",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Lycoming-Clinton Joinder Board","Lycoming-Clinton",32970,4900,37870,"Community Care Behavioral Health",NA,NA,0,"42122","42582",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Lehigh County HealthChoices","Lehigh county",89945,11695,101640,"Magellan Behavioral Health",NA,NA,0,"115041","115967",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Montgomery County HealthChoices","Montgomery county",106661,14707,121368,"Magellan Behavioral Health",NA,NA,0,"137274","138494",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Non-Emergency Medical Transportation","Medical Assistance Transportation Program (Non-Emergency Medical Transportation)","Modivcare","Philadelphia",620739,84424,705163,"Modivcare",NA,NA,0,"770761","762132",1,0,"Modivcare","Modivcare",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Northeast Behavioral Health Care Consortium","Lackawanna, Luzerne, Susquehanna and Wyoming counties",154846,21084,175930,"Community Care Behavioral Health",NA,NA,0,"195610","197015",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"167313","253085",NA,0,"UPMC Health System","UPMC Health Plan",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Northampton County HealthChoices","Northampton county",53298,7195,60493,"Magellan Behavioral Health",NA,NA,0,"69054","69683",NA,0,"Molina","Magellan Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Community Care Behavioral Health Organization","Bradford, Cameron, Centre, Clarion, Clearfield, Columbia, Elk, Forest, Huntingdon, Jefferson, Juniata, McKean, Mifflin, Montour, Northumberland, Potter, Schuylkill, Snyder, Sullivan, Tioga, Union, Warren and Wayne counties",207307,34243,241550,"Community Care Behavioral Health",NA,NA,0,"259203","262621",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Philadelphia County HealthChoices","Philadelphia county",615664,86993,702657,"Community Behavioral Health",NA,NA,0,"762537","767386",NA,0,"UPMC Health System","Community Behavioral Health",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Southwest Behavioral Health Management","Armstrong, Butler, Indiana, Lawrence, Washington and Westmoreland counties",173635,27919,201554,"Beacon Health Options",NA,NA,0,"224059","225765",NA,0,"Beacon","Beacon Health Options",1
"Pennsylvania","PA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Behavioral Health Health Choices (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","York/Adams HealthChoices Joinder Governing Board","York/Adams",103185,11003,114188,"Community Care Behavioral Health",NA,NA,0,"128172","129464",NA,0,"UPMC Health System","Community Behavioral Health",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MCO (Comprehensive MCO)","Government Health Plan First Medical","Statewide",295485,15504,310989,"Government Health Plan First Medical","NO KFF ANALYSIS",NA,NA,"329059","328475",1,0,"First Medical Plan","Government Health Plan First Medical",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MCO (Comprehensive MCO)","Government Health Plan MMM Multi Health","Statewide",291031,19460,310491,"Government Health Plan MMM Multi Health","NO KFF ANALYSIS",NA,NA,"330973","329065",1,0,"Medicare and Much More","Government Health Plan MMM Multi Health",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MCO (Comprehensive MCO)","Government Health Plan de Salud Menonita","Statewide",154402,8644,163046,"Government Health Plan de Salud Menonita","NO KFF ANALYSIS",NA,NA,"174639","173903",1,0,"Plan de Salud Menonita","Government Health Plan de Salud Menonita",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MCO (Comprehensive MCO)","Government Health Plan Triple S","Statewide",419447,20295,439742,"Government Health Plan Triple S","NO KFF ANALYSIS",NA,NA,"467970","465950",1,0,"Health Plan Triple S","Government Health Plan Triple S",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MAO - Medicare Platino (Comprehensive MCO)","Medicare Platino - MMM Healthcare","Statewide",0,130950,130950,"Medicare Platino - MMM Healthcare","NO KFF ANALYSIS",NA,NA,"117510","118535",1,0,"Medicare and Much More","Medicare Platino - MMM Healthcare",1
"Puerto Rico","PR",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,"NO KFF ANALYSIS",NA,NA,"36449","37309",0,0,"PMC Medicare Choice","PMC Medicare Choice",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MAO - Medicare Platino (Comprehensive MCO)","Medicare Platino - MSC Advantage","Statewide",0,87360,87360,"Medicare Platino - MSC Advantage","NO KFF ANALYSIS",NA,NA,"101434","103829",1,0,"MCS Advantage Inc","Medicare Platino - MSC Advantage",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MAO - Medicare Platino (Comprehensive MCO)","Medicare Platino - HUMANA","Statewide",0,15494,15494,"Medicare Platino - HUMANA","NO KFF ANALYSIS",NA,NA,"18049","18205",1,0,"Humana","Medicare Platino - HUMANA",1
"Puerto Rico","PR",2021,"","Comprehensive MCO","Comprehensive MAO - Medicare Platino (Comprehensive MCO)","Medicare Platino - Triple S Advantage","Statewide",0,43788,43788,"Medicare Platino - Triple S Advantage","NO KFF ANALYSIS",NA,NA,"53116","54798",1,0,"Medicare Platino - Triple S Advantage","Medicare Platino - Triple S Advantage",1
"Rhode Island","RI",2021,"","Dental only (PAHP)","RIte Smiles Dental Program (Dental only (PAHP))","UnitedHealthcare Dental of Rhode Island","Statewide",127825,52,127877,"UnitedHealthcare",NA,NA,0,"135382","130047",1,0,"United Healthcare","UnitedHealthcare",1
NA,"RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Rhode Island","RI",2021,"","Non-Emergency Medical Transportation","Rhode Island Non-Emergency Medical Transportation Program (Non-Emergency Medical Transportation)","Medical Transportation Management, Inc.","Statewide",295961,39335,335296,"Medical Transportation Management","",NA,1,"356450","343305",1,0,"Medical Transportation Management","Medical Transportation Management",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Neighborhood Health Plan of Rhode Island","Statewide",171430,1818,173248,"N/A","Neighborhood Health Plan of Rhode Island","",1,"14606","14810",1,0,"Neighborhood Health Plan of RI","Neighborhood Health Plan of Rhode Island",1
NA,"RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Neighborhood Health Plan of Rhode Island","Statewide",0,0,0,"N/A","Neighborhood Health Plan of Rhode Island","",1,"60419","60661",1,0,"Neighborhood Health Plan of RI","Neighborhood Health Plan of Rhode Island",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Neighborhood Health Plan of Rhode Island","Statewide",0,0,0,"N/A","Neighborhood Health Plan of Rhode Island","",1,"8379","8484",1,0,"Neighborhood Health Plan of RI","Neighborhood Health Plan of Rhode Island",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Neighborhood Health Plan of Rhode Island","Statewide",0,0,0,"N/A","Neighborhood Health Plan of Rhode Island","",1,"121444","120838",1,0,"Neighborhood Health Plan of RI","Neighborhood Health Plan of Rhode Island",1
"Rhode Island","RI",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","RI Medicaid PACE Program (Program of All-inclusive Care for the Elderly (PACE))","PACE Organization of Rhode Island","Statewide",28,316,344,"PACE Organizations",NA,NA,0,"451","448",1,0,"PACE Organization of Rhode Island","PACE Organization of Rhode Island",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Tufts Health Public Plans","Statewide",0,0,0,"Point32Health","Tufts Health Public Plans","Point32Health",1,"9724","9711",1,0,"Tufts Health Plan","Tufts Health Public Plans",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Tufts Health Public Plans","Statewide",0,0,0,"Point32Health","Tufts Health Public Plans","Point32Health",1,"10046","10156",1,0,"Tufts Health Plan","Tufts Health Public Plans",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","Tufts Health Public Plans","Statewide",16548,263,16811,"Point32Health","Tufts Health Public Plans","Point32Health",1,"889","904",1,0,"Tufts Health Plan","Tufts Health Public Plans",1
"Rhode Island","RI",2021,"","Comprehensive MCO","RIte Care, Rhody Health Partners and Medicaid Expansion (Comprehensive MCO)","United HealthCare of Rhode Island Community Plan","Statewide",95037,1612,96649,"UnitedHealthCare, Inc.","United HealthCare of Rhode Island Community Plan","UnitedHealth Group",1,"6930","6998",1,0,"United Healthcare","UnitedHealthcare",1
